Rep,Entry,Wax Leaf Bottom 4/26/21,Wax Spike 5/02/21,flowering
1,UX1992-101,4,3,4/23/2021
2,UX1992-101,3,2,4/24/2021
1,UX1992-100,1,1,4/20/2021
2,UX1992-100,1,1,4/22/2021
1,UX1992-99,3,3,4/21/2021
2,UX1992-99,3,2,4/23/2021
1,UX1992-98,2,1,4/16/2021
2,UX1992-98,2,1,4/18/2021
1,UX1992-97,3,2,4/21/2021
2,UX1992-97,3,2,4/23/2021
1,UX1992-96,4,3,4/19/2021
2,UX1992-96,2,3,4/21/2021
1,UX1992-95,1,2,4/21/2021
2,UX1992-95,2,2,4/23/2021
1,UX1992-94,4,4,4/19/2021
2,UX1992-94,4,3,4/20/2021
1,UX1992-93,4,2,4/21/2021
2,UX1992-93,4,3,4/18/2021
1,UX1992-92,1,1,4/20/2021
2,UX1992-92,2,2,4/22/2021
1,UX1992-91,4,2,4/18/2021
2,UX1992-91,4,2,4/21/2021
1,UX1992-90,4,3,4/22/2021
2,UX1992-90,4,3,4/24/2021
1,UX1992-89,4,4,4/19/2021
2,UX1992-89,4,3,4/18/2021
1,UX1992-88,3,2,4/21/2021
2,UX1992-88,2,1,4/22/2021
1,UX1992-87,3,2,4/20/2021
2,UX1992-87,2,3,4/19/2021
1,UX1992-86,4,1,4/19/2021
2,UX1992-86,4,1,4/21/2021
1,UX1992-85,2,1,4/18/2021
2,UX1992-85,3,1,4/19/2021
1,UX1992-84,1,1,4/20/2021
2,UX1992-84,2,1,4/24/2021
1,UX1992-83,2,1,4/15/2021
2,UX1992-83,1,1,4/18/2021
1,UX1992-82,3,3,4/22/2021
2,UX1992-82,3,2,4/24/2021
1,UX1992-81,4,2,4/22/2021
2,UX1992-81,4,2,4/24/2021
1,UX1992-80,4,3,4/24/2021
2,UX1992-80,4,2,4/21/2021
1,UX1992-79,4,2,4/15/2021
2,UX1992-79,4,1,4/16/2021
1,UX1992-78,4,4,4/22/2021
2,UX1992-78,4,3,4/22/2021
1,UX1992-77,4,3,4/19/2021
2,UX1992-77,4,3,4/20/2021
1,UX1992-76,1,1,4/18/2021
2,UX1992-76,2,1,4/21/2021
1,UX1992-75,4,3,4/17/2021
2,UX1992-75,2,3,4/19/2021
1,UX1992-74,4,4,4/23/2021
2,UX1992-74,4,4,4/22/2021
1,UX1992-73,3,3,4/16/2021
2,UX1992-73,4,3,4/18/2021
1,UX1992-72,2,2,4/19/2021
2,UX1992-72,2,2,4/19/2021
1,UX1992-71,4,3,4/18/2021
2,UX1992-71,4,3,4/18/2021
1,UX1992-70,4,1,4/20/2021
2,UX1992-70,3,2,4/22/2021
1,UX1992-69,4,3,4/18/2021
2,UX1992-69,4,3,4/17/2021
1,UX1992-68,4,1,4/18/2021
2,UX1992-68,3,1,4/20/2021
1,UX1992-67,4,4,4/20/2021
2,UX1992-67,4,4,4/22/2021
1,UX1992-66,4,3,4/24/2021
2,UX1992-66,4,3,4/25/2021
1,UX1992-65,4,1,4/22/2021
2,UX1992-65,1,2,4/21/2021
1,UX1992-63,2,2,4/17/2021
2,UX1992-63,3,3,4/19/2021
1,UX1992-62,4,4,4/17/2021
2,UX1992-62,3,2,4/14/2021
1,UX1992-61,2,3,4/17/2021
2,UX1992-61,3,3,4/18/2021
1,UX1992-60,2,1,4/17/2021
2,UX1992-60,3,1,4/19/2021
1,UX1992-59,2,1,4/19/2021
2,UX1992-59,1,1,4/18/2021
2,UX1992-58,3,4,4/25/2021
1,UX1992-57,4,3,4/19/2021
2,UX1992-57,4,3,4/21/2021
1,UX1992-56,4,3,4/19/2021
2,UX1992-56,4,3,4/19/2021
1,UX1992-55,4,3,4/18/2021
2,UX1992-55,2,3,4/19/2021
1,UX1992-54,4,4,4/21/2021
2,UX1992-54,3,3,4/20/2021
1,UX1992-52,4,4,4/19/2021
2,UX1992-52,4,4,4/24/2021
1,UX1992-51,2,2,4/18/2021
2,UX1992-51,3,2,4/15/2021
1,UX1992-50,4,3,4/18/2021
2,UX1992-50,4,3,4/19/2021
1,UX1992-49,3,2,4/19/2021
2,UX1992-49,2,4,4/19/2021
1,UX1992-48,4,3,4/17/2021
2,UX1992-48,4,3,4/22/2021
1,UX1992-47,4,3,4/22/2021
2,UX1992-47,4,4,4/21/2021
1,UX1992-46,1,3,4/19/2021
2,UX1992-46,2,2,4/19/2021
1,UX1992-45,4,3,4/25/2021
2,UX1992-45,4,3,4/22/2021
1,UX1992-44,4,3,4/16/2021
2,UX1992-44,4,3,4/17/2021
1,UX1992-43,2,2,4/14/2021
2,UX1992-43,1,2,4/16/2021
1,UX1992-42,2,3,4/17/2021
2,UX1992-42,2,2,4/17/2021
1,UX1992-41,4,3,4/20/2021
2,UX1992-41,4,1,4/19/2021
1,UX1992-40,4,2,4/16/2021
2,UX1992-40,3,2,4/20/2021
1,UX1992-39,2,1,4/18/2021
2,UX1992-39,3,2,4/21/2021
1,UX1992-38,3,1,4/19/2021
2,UX1992-38,3,1,4/19/2021
1,UX1992-37,4,3,4/20/2021
2,UX1992-37,4,3,4/24/2021
1,UX1992-36,4,2,4/17/2021
2,UX1992-36,4,2,4/18/2021
1,UX1992-35,4,2,4/20/2021
2,UX1992-35,3,1,4/18/2021
1,UX1992-34,4,3,4/16/2021
2,UX1992-34,4,4,4/19/2021
1,UX1992-33,4,4,4/23/2021
2,UX1992-33,4,3,4/25/2021
1,UX1992-32,3,2,4/22/2021
2,UX1992-32,3,2,4/22/2021
1,UX1992-31,4,2,4/18/2021
2,UX1992-31,4,3,4/21/2021
1,UX1992-29,4,4,4/22/2021
2,UX1992-29,4,4,4/19/2021
1,UX1992-28,3,3,4/18/2021
2,UX1992-28,4,4,4/21/2021
1,UX1992-27,4,3,4/18/2021
2,UX1992-27,4,2,4/18/2021
1,UX1992-26,3,3,4/20/2021
2,UX1992-26,3,2,4/19/2021
1,UX1992-25,4,3,4/17/2021
2,UX1992-25,3,3,4/21/2021
1,UX1992-24,2,2,4/16/2021
2,UX1992-24,3,1,4/17/2021
1,UX1992-23,4,3,4/18/2021
2,UX1992-23,4,2,4/18/2021
1,UX1992-22,4,3,4/23/2021
2,UX1992-22,3,4,4/25/2021
1,UX1992-21,2,2,4/16/2021
2,UX1992-21,2,1,4/18/2021
1,UX1992-20,2,1,4/14/2021
2,UX1992-20,1,1,4/12/2021
1,UX1992-19,1,1,4/19/2021
2,UX1992-19,1,1,4/18/2021
1,UX1992-18,3,3,4/20/2021
2,UX1992-18,3,2,4/24/2021
1,UX1992-17,4,1,4/19/2021
2,UX1992-17,4,1,4/21/2021
1,UX1992-16,4,3,4/19/2021
2,UX1992-16,4,3,4/22/2021
1,UX1992-15,4,3,4/22/2021
2,UX1992-15,3,3,4/23/2021
1,UX1992-14,4,2,4/18/2021
2,UX1992-14,4,3,4/25/2021
1,UX1992-13,3,1,4/22/2021
2,UX1992-13,3,1,4/21/2021
1,UX1992-12,2,1,4/18/2021
2,UX1992-12,1,1,4/18/2021
1,UX1992-11,4,4,4/18/2021
2,UX1992-11,4,4,4/20/2021
1,UX1992-10,3,4,4/18/2021
2,UX1992-10,3,3,4/21/2021
1,UX1992-9,4,4,4/22/2021
2,UX1992-9,4,3,4/21/2021
1,UX1992-8,4,3,4/21/2021
2,UX1992-8,4,3,4/22/2021
1,UX1992-7,4,2,4/16/2021
2,UX1992-7,4,3,4/15/2021
1,UX1992-6,1,2,4/18/2021
2,UX1992-6,3,4,4/18/2021
1,UX1992-5,4,3,4/21/2021
2,UX1992-5,4,1,4/20/2021
1,UX1992-4,4,4,4/22/2021
3,UX1992-3,2,1,4/20/2021
1,UX1992-3,3,3,4/24/2021
2,UX1992-3,2,2,4/22/2021
1,UX1992-2,4,4,4/24/2021
2,UX1992-2,3,3,4/25/2021
1,UX1992-1,4,2,4/15/2021
2,UX1992-1,2,1,4/16/2021
