Rep,Entry,Wax Leaf Bottom 4/22/21,Wax Spike 4/26/21,flowering
1,293,1,2,4/8/2021
1,147,3,4,4/13/2021
1,278,3,4,4/19/2021
1,120,2,4,4/15/2021
1,205,3,4,4/20/2021
1,42,4,4,4/14/2021
1,131,2,1,4/22/2021
1,289,2,4,4/13/2021
1,32,1,3,4/14/2021
1,137,3,3,4/12/2021
1,132,2,3,4/18/2021
1,206,3,4,4/18/2021
1,171,3,3,4/15/2021
1,234,4,3,4/17/2021
1,159,3,3,4/14/2021
1,38,4,4,4/15/2021
1,106,2,2,4/16/2021
1,119,4,3,4/13/2021
1,64,2,4,4/22/2021
1,242,1,3,4/15/2021
1,333,2,2,4/12/2021
1,244,3,4,4/14/2021
1,121,4,2,4/21/2021
1,201,1,2,4/12/2021
1,274,3,4,4/12/2021
1,190,3,4,4/11/2021
1,199,1,1,4/16/2021
1,349,2,2,4/14/2021
1,280,2,3,4/14/2021
1,164,3,4,4/13/2021
1,133,3,4,4/17/2021
1,10,4,4,4/9/2021
1,61,2,2,4/13/2021
1,AGS2000,4,4,4/15/2021
1,23,4,3,4/21/2021
1,16,1,2,4/11/2021
1,332,2,2,4/16/2021
1,285,2,4,4/11/2021
1,230,2,1,4/22/2021
1,18,1,2,4/14/2021
1,58,2,2,4/10/2021
1,219,2,2,4/16/2021
1,163,3,2,4/21/2021
1,189,1,3,4/11/2021
1,294,2,4,4/12/2021
1,276,4,4,4/14/2021
1,295,1,2,4/19/2021
1,350,2,3,4/14/2021
1,237,1,2,4/13/2021
1,136,2,4,4/15/2021
1,347,2,3,4/20/2021
1,281,2,4,4/16/2021
1,123,1,2,4/12/2021
1,229,2,3,4/16/2021
1,196,1,1,4/21/2021
1,256,2,3,4/14/2021
1,356,2,4,4/15/2021
1,LA95135,1,1,4/17/2021
1,314,4,3,4/19/2021
1,98,2,4,4/15/2021
1,143,3,4,4/14/2021
1,313,4,3,4/15/2021
1,71,3,2,4/17/2021
1,186,3,3,4/14/2021
1,198,2,4,4/14/2021
1,275,4,4,4/14/2021
1,LA95135,1,1,4/16/2021
1,AGS2000,4,4,4/16/2021
1,LA95135,1,1,4/18/2021
1,255,4,4,4/14/2021
1,160,3,3,4/14/2021
1,218,1,1,4/13/2021
1,LA95135,1,1,4/16/2021
1,174,4,3,4/14/2021
1,239,3,3,4/19/2021
1,109,4,4,4/14/2021
1,122,2,3,4/15/2021
1,90,3,1,4/15/2021
1,134,2,2,4/16/2021
1,8,3,2,4/14/2021
1,327,4,4,4/10/2021
1,325,2,2,4/16/2021
1,222,4,4,4/17/2021
1,145,2,3,4/14/2021
1,331,4,2,4/20/2021
1,83,3,1,4/22/2021
1,344,2,4,4/9/2021
1,AGS2000,4,4,4/15/2021
1,91,2,3,4/15/2021
1,92,2,2,4/19/2021
1,345,4,2,4/19/2021
1,209,3,2,4/14/2021
1,265,2,4,4/13/2021
1,157,3,4,4/17/2021
1,166,4,4,4/12/2021
1,241,3,2,4/16/2021
1,3,4,4,4/14/2021
1,13,3,4,4/13/2021
1,40,2,4,4/13/2021
1,14,3,3,4/14/2021
1,343,2,3,4/15/2021
1,94,2,3,4/22/2021
1,312,1,3,4/18/2021
1,79,2,2,4/15/2021
1,193,2,3,4/16/2021
1,273,1,2,4/12/2021
1,139,4,3,4/14/2021
1,165,3,2,4/17/2021
1,20,3,1,4/18/2021
1,LA95135,1,1,4/16/2021
1,146,2,2,4/15/2021
1,63,4,4,4/14/2021
1,26,4,4,4/18/2021
1,221,4,4,4/15/2021
1,36,4,4,4/15/2021
1,335,4,4,4/21/2021
1,88,3,3,4/18/2021
1,299,3,4,4/13/2021
1,342,3,4,4/13/2021
1,182,3,2,4/18/2021
1,155,4,3,4/14/2021
1,283,2,3,4/15/2021
1,LA95135,1,1,4/16/2021
1,75,2,4,4/11/2021
1,323,2,3,4/16/2021
1,52,2,1,4/16/2021
1,AGS2000,3,4,4/14/2021
1,261,4,3,4/13/2021
1,263,4,3,4/14/2021
1,29,4,3,4/14/2021
1,225,3,3,4/20/2021
1,LA95135,1,1,4/15/2021
1,213,2,1,4/21/2021
1,6,1,4,4/14/2021
1,309,4,3,4/13/2021
1,50,2,3,4/10/2021
1,260,4,4,4/16/2021
1,176,2,2,4/14/2021
1,337,1,2,4/12/2021
1,306,3,4,4/13/2021
1,AGS2000,4,4,4/13/2021
1,80,1,4,4/15/2021
1,321,3,2,4/15/2021
1,291,3,4,4/16/2021
1,49,3,3,4/12/2021
1,AGS2000,4,4,4/13/2021
1,LA95135,1,1,4/14/2021
1,AGS2000,4,4,4/14/2021
1,173,4,4,4/12/2021
1,185,1,3,4/11/2021
1,359,3,3,4/12/2021
1,158,1,2,4/14/2021
1,180,2,1,4/13/2021
1,167,4,3,4/11/2021
1,68,4,4,4/12/2021
1,300,4,4,4/15/2021
1,191,2,3,4/10/2021
1,60,3,2,4/19/2021
1,227,4,3,4/16/2021
1,277,3,3,4/17/2021
1,84,4,3,4/14/2021
1,141,2,2,4/14/2021
1,LA95135,1,1,4/17/2021
1,96,3,4,4/19/2021
1,17,4,1,4/20/2021
1,282,4,4,4/19/2021
1,271,3,4,4/18/2021
1,188,4,4,4/17/2021
1,357,2,4,4/15/2021
1,56,4,4,4/10/2021
1,124,3,1,4/16/2021
1,152,1,3,4/15/2021
1,338,2,3,4/15/2021
1,257,1,2,4/12/2021
1,43,3,2,4/20/2021
1,315,4,4,4/14/2021
1,272,3,4,4/16/2021
1,328,3,4,4/13/2021
1,44,4,4,4/17/2021
1,108,2,2,4/13/2021
1,102,4,4,4/15/2021
1,AGS2000,4,4,4/16/2021
1,302,3,1,4/16/2021
1,128,3,2,4/15/2021
1,65,3,4,4/12/2021
1,207,3,4,4/13/2021
1,135,4,4,4/16/2021
1,258,3,2,4/17/2021
1,45,2,2,4/19/2021
1,231,4,3,4/20/2021
1,353,2,3,4/11/2021
1,70,4,4,4/14/2021
1,268,4,4,4/15/2021
1,149,4,4,4/12/2021
1,267,1,1,4/14/2021
1,76,3,4,4/14/2021
1,9,3,2,4/15/2021
1,195,2,4,4/15/2021
1,298,4,4,4/12/2021
1,322,3,4,4/14/2021
1,233,2,1,4/13/2021
1,AGS2000,4,4,4/13/2021
1,34,1,2,4/15/2021
1,178,3,3,4/18/2021
1,30,2,3,4/11/2021
1,249,1,2,4/16/2021
1,115,3,2,4/12/2021
1,354,4,4,4/11/2021
1,266,4,3,4/12/2021
1,LA95135,1,1,4/14/2021
1,203,4,1,4/14/2021
1,235,2,1,4/10/2021
1,33,2,3,4/17/2021
1,301,3,3,4/17/2021
1,AGS2000,4,4,4/16/2021
1,57,4,2,4/12/2021
1,117,3,4,4/10/2021
1,116,3,2,4/12/2021
1,279,3,3,4/10/2021
1,73,2,4,4/11/2021
1,216,4,4,4/16/2021
1,113,3,4,4/14/2021
1,270,2,4,4/18/2021
1,202,3,2,4/12/2021
1,LA95135,2,1,4/15/2021
1,AGS2000,4,4,4/15/2021
1,LA95135,1,1,4/16/2021
1,25,3,2,4/13/2021
1,187,1,1,4/10/2021
1,200,1,4,4/9/2021
1,22,4,3,4/14/2021
1,24,1,4,4/13/2021
1,81,1,3,4/14/2021
1,67,2,2,4/13/2021
2,218,1,1,4/12/2021
2,33,2,3,4/18/2021
2,190,3,4,4/13/2021
2,360,3,2,4/14/2021
2,143,3,3,4/11/2021
2,315,4,3,4/15/2021
2,109,3,4,4/14/2021
2,271,3,3,4/14/2021
2,227,3,3,4/14/2021
2,80,4,4,4/18/2021
2,249,2,1,4/16/2021
2,LA95135,1,1,4/14/2021
2,234,2,2,4/18/2021
2,335,4,3,4/22/2021
2,113,3,4,4/13/2021
2,115,4,3,4/15/2021
2,50,2,3,4/10/2021
2,111,3,4,4/17/2021
2,328,3,4,4/14/2021
2,AGS2000,4,4,4/16/2021
2,102,4,4,4/14/2021
2,283,2,2,4/19/2021
2,8,1,2,4/13/2021
2,LA95135,1,1,4/15/2021
2,196,2,1,4/18/2021
2,153,3,2,4/18/2021
2,131,3,2,4/20/2021
2,15,3,3,4/14/2021
2,201,2,2,4/15/2021
2,177,4,1,4/19/2021
2,265,2,3,4/11/2021
2,148,1,3,4/10/2021
2,341,2,3,4/16/2021
2,123,2,4,4/13/2021
2,357,3,4,4/16/2021
2,301,4,3,4/17/2021
2,128,3,2,4/14/2021
2,164,3,3,4/13/2021
2,342,4,4,4/14/2021
2,171,3,1,4/16/2021
2,AGS2000,4,4,4/15/2021
2,40,3,2,4/12/2021
2,39,2,4,4/11/2021
2,356,2,4,4/15/2021
2,193,1,1,4/17/2021
2,178,3,1,4/19/2021
2,275,4,4,4/12/2021
2,94,3,2,4/19/2021
2,120,2,3,4/20/2021
2,263,4,2,4/14/2021
2,244,4,3,4/17/2021
2,AGS2000,4,4,4/14/2021
2,12,3,2,4/12/2021
2,25,2,2,4/14/2021
2,75,1,4,4/10/2021
2,70,4,3,4/12/2021
2,229,3,2,4/17/2021
2,152,2,2,4/13/2021
2,204,3,1,4/17/2021
2,327,4,4,4/10/2021
2,278,2,2,4/19/2021
2,11,4,4,4/13/2021
2,158,2,2,4/14/2021
2,293,1,1,4/10/2021
2,106,3,1,4/14/2021
2,266,4,3,4/12/2021
2,71,4,3,4/17/2021
2,53,1,1,4/11/2021
2,186,3,3,4/12/2021
2,AGS2000,4,4,4/13/2021
2,LA95135,1,1,4/14/2021
2,AGS2000,4,4,4/14/2021
2,LA95135,1,1,4/16/2021
2,311,4,3,4/15/2021
2,344,2,3,4/11/2021
2,223,3,4,4/12/2021
2,307,3,3,4/12/2021
2,326,3,2,4/12/2021
2,197,2,1,4/14/2021
2,119,3,3,4/12/2021
2,285,3,4,4/11/2021
2,79,3,1,4/14/2021
2,19,3,4,4/13/2021
2,61,2,1,4/12/2021
2,5,2,2,4/17/2021
2,144,2,2,4/16/2021
2,252,4,2,4/17/2021
2,99,4,4,4/16/2021
2,169,4,4,4/20/2021
2,AGS2000,4,4,4/16/2021
2,281,3,4,4/17/2021
2,77,3,1,4/17/2021
2,13,4,3,4/11/2021
2,132,3,2,4/16/2021
2,90,3,1,4/14/2021
2,52,3,1,4/17/2021
2,325,3,2,4/14/2021
2,110,4,4,4/13/2021
2,250,2,1,4/17/2021
2,286,3,3,4/16/2021
2,137,3,3,4/15/2021
2,345,3,1,4/17/2021
2,205,4,3,4/20/2021
2,96,3,3,4/17/2021
2,54,4,4,4/19/2021
2,83,3,1,4/20/2021
2,198,2,4,4/13/2021
2,166,3,4,4/12/2021
2,246,2,3,4/14/2021
2,AGS2000,4,4,4/15/2021
2,180,3,1,4/16/2021
2,254,2,2,4/11/2021
2,242,2,2,4/16/2021
2,LA95135,1,1,4/17/2021
2,225,3,2,4/17/2021
2,56,4,4,4/11/2021
2,191,2,4,4/11/2021
2,241,3,1,4/17/2021
2,209,4,1,4/13/2021
2,340,3,4,4/14/2021
2,34,2,2,4/16/2021
2,219,3,2,4/19/2021
2,182,3,2,4/17/2021
2,239,4,3,4/17/2021
2,348,3,3,4/18/2021
2,16,2,1,4/11/2021
2,220,4,4,4/14/2021
2,147,3,3,4/17/2021
2,107,3,1,4/18/2021
2,68,3,3,4/12/2021
2,23,3,3,4/17/2021
2,292,2,2,4/11/2021
2,10,4,4,4/10/2021
2,73,3,4,4/12/2021
2,213,2,1,4/20/2021
2,323,2,3,4/18/2021
2,264,3,3,4/11/2021
2,LA95135,1,1,4/14/2021
2,7,4,4,4/16/2021
2,247,3,3,4/11/2021
2,270,3,4,4/20/2021
2,170,4,3,4/10/2021
2,253,1,1,4/11/2021
2,308,4,1,4/23/2021
2,AGS2000,4,4,4/16/2021
2,353,1,2,4/11/2021
2,64,2,4,4/16/2021
2,245,4,2,4/17/2021
2,LA95135,1,1,4/15/2021
2,AGS2000,4,4,4/14/2021
2,LA95135,1,1,4/15/2021
2,274,4,4,4/12/2021
2,294,2,3,4/12/2021
2,14,4,2,4/13/2021
2,226,2,1,4/12/2021
2,121,4,1,4/14/2021
2,289,3,3,4/12/2021
2,230,3,1,4/17/2021
2,208,4,1,4/17/2021
2,101,4,3,4/13/2021
2,314,4,2,4/14/2021
2,22,4,2,4/16/2021
2,60,1,1,4/21/2021
2,202,3,2,4/13/2021
2,76,3,4,4/14/2021
2,173,4,4,4/12/2021
2,81,2,2,4/13/2021
2,LA95135,1,1,4/16/2021
2,135,3,3,4/17/2021
2,331,4,3,4/17/2021
2,100,4,2,4/17/2021
2,261,4,2,4/16/2021
2,167,4,4,4/11/2021
2,238,2,1,4/13/2021
2,284,3,2,4/14/2021
2,98,3,4,4/16/2021
2,AGS2000,4,4,4/16/2021
2,159,2,2,4/11/2021
2,297,1,2,4/11/2021
2,6,2,4,4/13/2021
2,322,3,4,4/17/2021
2,55,1,3,4/12/2021
2,272,3,3,4/13/2021
2,231,4,3,4/19/2021
2,338,1,2,4/17/2021
2,224,2,1,4/14/2021
2,200,2,4,4/9/2021
2,133,2,3,4/15/2021
2,9,4,2,4/14/2021
2,188,3,2,4/15/2021
2,141,3,1,4/14/2021
2,43,3,1,4/22/2021
2,38,4,4,4/17/2021
2,29,3,2,4/14/2021
2,280,3,2,4/13/2021
2,207,2,4,4/15/2021
2,300,4,4,4/16/2021
2,155,4,3,4/14/2021
2,288,2,1,4/15/2021
2,LA95135,1,1,4/17/2021
2,87,3,2,4/17/2021
2,343,2,2,4/19/2021
2,AGS2000,4,4,4/16/2021
2,216,4,4,4/17/2021
2,36,3,4,4/17/2021
2,333,2,2,4/11/2021
2,350,3,2,4/14/2021
2,145,1,3,4/12/2021
2,139,3,2,4/14/2021
2,332,3,3,4/17/2021
2,276,4,3,4/16/2021
2,339,4,3,4/11/2021
2,277,3,3,4/17/2021
2,84,3,2,4/14/2021
2,157,2,4,4/17/2021
2,117,3,3,4/10/2021
2,313,3,3,4/12/2021
2,136,1,4,4/16/2021
2,89,1,1,4/13/2021
2,85,1,2,4/12/2021
2,176,2,2,4/13/2021
2,91,3,3,4/12/2021
2,221,3,4,4/14/2021
2,174,4,3,4/14/2021
2,108,2,2,4/12/2021
2,260,4,4,4/17/2021
2,27,1,1,4/22/2021
2,AGS2000,4,4,4/13/2021
2,LA95135,1,1,4/15/2021
2,AGS2000,4,4,4/13/2021
2,67,3,3,4/16/2021
2,206,3,4,4/17/2021
2,LA95135,1,1,4/16/2021
2,299,3,4,4/12/2021
2,18,1,2,4/13/2021
2,30,2,3,4/11/2021
2,62,1,3,4/12/2021
2,222,3,4,4/13/2021
2,258,2,2,4/17/2021
2,160,1,2,4/10/2021
2,199,1,1,4/11/2021
2,347,2,2,4/16/2021
2,69,4,4,4/11/2021
2,185,1,2,4/12/2021
2,291,3,4,4/16/2021
2,268,4,4,4/14/2021
2,20,3,1,4/18/2021
2,298,4,4,4/12/2021
2,257,1,1,4/13/2021
2,359,4,3,4/12/2021
2,237,2,1,4/12/2021
2,72,3,2,4/18/2021
2,44,4,4,4/16/2021
2,104,2,3,4/16/2021
2,AGS2000,4,4,4/16/2021
2,304,2,2,4/13/2021
2,195,3,2,4/15/2021
2,354,3,4,4/12/2021
2,31,3,1,4/14/2021
2,317,3,3,4/23/2021
2,26,4,4,4/19/2021
2,165,3,1,4/17/2021
2,279,3,3,4/11/2021
2,312,2,2,4/15/2021
2,228,3,1,4/20/2021
2,269,2,2,4/14/2021
2,163,2,1,4/19/2021
2,116,2,1,4/13/2021
2,187,2,1,4/11/2021
2,256,2,2,4/14/2021
2,32,3,3,4/18/2021
2,65,2,3,4/12/2021
2,189,1,1,4/11/2021
2,150,2,3,4/12/2021
2,2,2,2,4/13/2021
2,306,3,4,4/12/2021
2,175,4,4,4/14/2021
2,LA95135,1,1,4/17/2021
2,45,1,1,4/20/2021
2,58,2,2,4/12/2021
2,309,3,2,4/14/2021
2,282,3,3,4/19/2021
2,3,4,4,4/16/2021
2,42,3,3,4/18/2021
2,232,2,4,4/17/2021
2,63,2,3,4/13/2021
2,273,1,2,4/13/2021
2,49,2,3,4/13/2021
2,337,3,2,4/12/2021
2,17,3,1,4/20/2021
2,255,2,4,4/16/2021
2,179,4,3,4/19/2021
2,24,1,4,4/15/2021
2,134,2,3,4/18/2021
2,267,1,1,4/17/2021
2,35,4,3,4/21/2021
2,57,2,1,4/14/2021
2,321,2,1,4/17/2021
2,203,2,1,4/17/2021
2,LA95135,1,1,4/16/2021
2,149,2,4,4/16/2021
2,48,3,1,4/17/2021
2,330,2,4,4/12/2021
2,168,4,4,4/11/2021
2,295,2,2,4/17/2021
2,4,3,2,4/17/2021
2,LA95135,1,1,4/16/2021
2,AGS2000,4,4,4/16/2021
2,LA95135,1,1,4/18/2021
2,235,2,1,4/13/2021
2,AGS2000,4,4,4/16/2021
2,88,1,2,4/18/2021
2,47,3,3,4/12/2021
2,302,3,1,4/19/2021
2,126,3,2,4/19/2021
2,122,3,3,4/17/2021
2,334,2,2,4/17/2021
2,92,1,2,4/18/2021
2,146,2,1,4/18/2021
2,349,2,1,4/19/2021
2,124,3,1,4/19/2021
2,251,3,4,4/17/2021
2,233,1,1,4/14/2021
