Plot_ID,Tray,Rep,Entry,Plot,flowering,Wax Heads,Wax Leaf BOTTOM,Wax Leaf TOP,Yield?
Ral20-LA-105,17.7.1,1,205,105,4/19/2020,4,4,1,1
Ral20-LA-106,17.7.2,1,128,106,4/9/2020,3,3,0,1
Ral20-LA-107,17.7.3,1,267,107,4/8/2020,2,1,0,1
Ral20-LA-108,17.7.4,1,35,108,4/13/2020,4,4,3,1
Ral20-LA-109,17.8.1,1,39,109,4/4/2020,4,3,0,1
Ral20-LA-110,17.8.2,1,57,110,4/7/2020,3,2,0,1
Ral20-LA-111,17.8.3,1,218,111,4/6/2020,1,2,0,1
Ral20-LA-112,17.8.4,1,168,112,4/3/2020,4,4,2,0
Ral20-LA-113,17.9.1,1,309,113,4/6/2020,3,4,1,1
Ral20-LA-114,17.9.2,1,331,114,4/10/2020,4,4,1,1
Ral20-LA-115,17.9.3,1,18,115,4/9/2020,2,2,0,1
Ral20-LA-116,17.9.4,1,171,116,4/10/2020,3,4,1,1
Ral20-LA-117,17.10.1,1,20,117,4/15/2020,2,4,2,1
Ral20-LA-118,17.10.2,1,258,118,4/9/2020,3,3,0,1
Ral20-LA-119,17.10.3,1,79,119,4/9/2020,2,3,0,1
Ral20-LA-120,17.10.4,1,190,120,4/7/2020,4,4,2,1
Ral20-LA-121,17.11.1,1,107,121,4/13/2020,3,4,0,1
Ral20-LA-122,17.11.2,1,87,122,4/12/2020,3,4,2,1
Ral20-LA-123,17.11.3,1,246,123,4/4/2020,2,3,0,
Ral20-LA-124,17.11.4,1,313,124,4/7/2020,3,4,1,1
Ral20-LA-125,17.12.1,1,153,125,4/9/2020,3,3,0,1
Ral20-LA-126,17.12.2,1,187,126,4/6/2020,1,3,0,1
Ral20-LA-127,17.12.3,1,70,127,4/8/2020,4,4,2,1
Ral20-LA-128,17.12.4,1,AGS2000,128,4/8/2020,4,4,2,1
Ral20-LA-129,17.13.1,1,45,129,4/17/2020,2,4,1,1
Ral20-LA-130,17.13.2,1,299,130,4/9/2020,4,4,2,1
Ral20-LA-131,17.13.3,1,152,131,4/8/2020,3,3,0,1
Ral20-LA-132,17.13.4,1,155,132,4/8/2020,3,4,1,1
Ral20-LA-133,17.14.1,1,29,133,4/14/2020,3,4,1,0
Ral20-LA-134,17.14.2,1,133,134,4/8/2020,3,2,0,1
Ral20-LA-135,17.14.3,1,333,135,4/7/2020,1,1,0,1
Ral20-LA-136,17.14.4,1,131,136,4/13/2020,2,2,0,1
Ral20-LA-137,17.15.1,1,108,137,4/9/2020,2,2,0,1
Ral20-LA-138,17.15.2,1,67,138,4/8/2020,2,4,1,1
Ral20-LA-139,17.15.3,1,AGS2000,139,4/7/2020,4,4,2,1
Ral20-LA-140,17.15.4,1,300,140,4/10/2020,4,4,2,1
Ral20-LA-141,17.16.1,1,186,141,4/14/2020,2,4,1,1
Ral20-LA-142,17.16.2,1,83,142,4/8/2020,3,4,0,1
Ral20-LA-143,17.16.3,1,197,143,4/9/2020,2,4,0,1
Ral20-LA-144,17.16.4,1,68,144,4/8/2020,3,3,1,
Ral20-LA-145,17.17.1,1,252,145,4/13/2020,3,4,1,1
Ral20-LA-146,17.17.2,1,265,146,4/8/2020,3,3,0,1
Ral20-LA-147,17.17.3,1,233,147,4/5/2020,1,1,0,1
Ral20-LA-148,17.17.4,1,119,148,4/7/2020,3,3,0,
Ral20-LA-149,17.18.1,1,LA95135,149,4/9/2020,1,2,0,
Ral20-LA-150,17.18.2,1,219,150,4/9/2020,2,2,0,1
Ral20-LA-151,17.18.3,1,77,151,4/10/2020,2,1,0,1
Ral20-LA-152,17.18.4,1,43,152,4/15/2020,2,4,2,1
Ral20-LA-153,17.19.1,1,158,153,4/10/2020,2,3,0,1
Ral20-LA-154,17.19.2,1,AGS2000,154,4/8/2020,4,3,0,1
Ral20-LA-155,17.19.3,1,268,155,4/8/2020,3,4,0,0
Ral20-LA-156,17.19.4,1,307,156,4/7/2020,2,2,0,1
Ral20-LA-157,17.20.1,1,241,157,4/8/2020,3,4,0,1
Ral20-LA-158,17.20.2,1,104,158,4/8/2020,3,4,0,1
Ral20-LA-159,17.20.3,1,231,159,4/13/2020,4,4,3,1
Ral20-LA-160,17.20.4,1,42,160,4/10/2020,4,4,1,1
Ral20-LA-161,18.1.1,1,Barley,161,4/7/2020,0,BOTTOM,,1
Ral20-LA-162,18.1.2,1,LA95135,162,4/8/2020,1,1,0,1
Ral20-LA-163,18.1.3,1,AGS2000,163,4/5/2020,4,4,0,1
Ral20-LA-164,18.1.4,1,LA95135,164,4/7/2020,1,2,0,1
Ral20-LA-165,18.2.1,1,32,165,4/8/2020,4,2,0,1
Ral20-LA-166,18.2.2,1,136,166,4/9/2020,4,2,0,1
Ral20-LA-167,18.2.3,1,61,167,4/7/2020,2,3,0,1
Ral20-LA-168,18.2.4,1,89,168,4/3/2020,2,2,0,1
Ral20-LA-169,18.3.1,1,285,169,4/7/2020,4,4,1,1
Ral20-LA-170,18.3.2,1,249,170,4/9/2020,2,1,0,1
Ral20-LA-171,18.3.3,1,297,171,4/4/2020,1,2,0,1
Ral20-LA-172,18.3.4,1,LA95135,172,4/8/2020,1,2,0,1
Ral20-LA-173,18.4.1,1,49,173,4/4/2020,2,3,0,1
Ral20-LA-174,18.4.2,1,149,174,4/6/2020,3,3,0,1
Ral20-LA-175,18.4.3,1,5,175,4/10/2020,3,3,2,1
Ral20-LA-176,18.4.4,1,150,176,4/3/2020,3,3,0,1
Ral20-LA-177,18.5.1,1,304,177,4/4/2020,2,2,0,1
Ral20-LA-178,18.5.2,1,188,178,4/7/2020,3,,0,1
Ral20-LA-179,18.5.3,1,185,179,4/7/2020,2,3,0,1
Ral20-LA-180,18.5.4,1,27,180,4/14/2020,2,2,0,1
Ral20-LA-181,18.6.1,1,254,181,4/5/2020,3,1,0,1
Ral20-LA-182,18.6.2,1,73,182,4/8/2020,4,2,0,1
Ral20-LA-183,18.6.3,1,237,183,4/7/2020,1,0,0,1
Ral20-LA-184,18.6.4,1,221,184,4/8/2020,4,4,1,1
Ral20-LA-185,18.7.1,1,345,185,4/17/2020,3,4,2,1
Ral20-LA-186,18.7.2,1,AGS2000,186,4/9/2020,4,3,2,1
Ral20-LA-187,18.7.3,1,282,187,4/12/2020,3,4,1,1
Ral20-LA-188,18.7.4,1,16,188,4/8/2020,3,4,0,1
Ral20-LA-189,18.8.1,1,298,189,4/8/2020,4,4,1,1
Ral20-LA-190,18.8.2,1,17,190,4/16/2020,2,4,1,1
Ral20-LA-191,18.8.3,1,96,191,4/9/2020,3,4,1,1
Ral20-LA-192,18.8.4,1,75,192,4/4/2020,3,2,0,1
Ral20-LA-193,18.9.1,1,291,193,4/10/2020,2,2,0,1
Ral20-LA-194,18.9.2,1,222,194,4/7/2020,4,3,0,1
Ral20-LA-195,18.9.3,1,19,195,4/5/2020,1,3,0,1
Ral20-LA-196,18.9.4,1,12,196,4/8/2020,1,2,0,0
Ral20-LA-197,18.10.1,1,275,197,4/8/2020,4,4,1,1
Ral20-LA-198,18.10.2,1,36,198,4/9/2020,4,4,0,1
Ral20-LA-199,18.10.3,1,198,199,4/7/2020,4,4,0,0
Ral20-LA-200,18.10.4,1,180,200,4/11/2020,1,3,0,1
Ral20-LA-201,18.11.1,1,LA95135,201,4/7/2020,1,0,0,1
Ral20-LA-202,18.11.2,1,99,202,4/9/2020,4,1,0,1
Ral20-LA-203,18.11.3,1,54,203,4/11/2020,4,4,1,1
Ral20-LA-204,18.11.4,1,216,204,4/10/2020,4,4,1,
Ral20-LA-205,18.12.1,1,327,205,4/3/2020,4,4,1,1
Ral20-LA-206,18.12.2,1,269,206,4/5/2020,2,2,0,1
Ral20-LA-207,18.12.3,1,166,207,4/6/2020,3,2,0,1
Ral20-LA-208,18.12.4,1,148,208,4/6/2020,2,2,0,1
Ral20-LA-209,18.13.1,1,33,209,4/12/2020,2,3,0,1
Ral20-LA-210,18.13.2,1,132,210,4/8/2020,2,2,0,1
Ral20-LA-211,18.13.3,1,65,211,4/7/2020,3,1,0,1
Ral20-LA-212,18.13.4,1,260,212,4/9/2020,4,4,0,1
Ral20-LA-213,18.14.1,1,44,213,4/13/2020,4,4,2,1
Ral20-LA-214,18.14.2,1,195,214,4/9/2020,4,4,1,1
Ral20-LA-215,18.14.3,1,256,215,4/7/2020,2,2,0,1
Ral20-LA-216,18.14.4,1,LA95135,216,4/9/2020,1,0,0,1
Ral20-LA-217,18.15.1,1,53,217,4/8/2020,1,0,0,1
Ral20-LA-218,18.15.2,1,143,218,4/6/2020,3,1,0,1
Ral20-LA-219,18.15.3,1,81,219,4/5/2020,2,2,0,1
Ral20-LA-220,18.15.4,1,34,220,4/9/2020,2,3,0,1
Ral20-LA-221,18.16.1,1,232,221,4/11/2020,4,2,0,1
Ral20-LA-222,18.16.2,1,50,222,4/3/2020,2,3,0,1
Ral20-LA-223,18.16.3,1,315,223,4/8/2020,3,4,1,
Ral20-LA-224,18.16.4,1,264,224,4/7/2020,2,3,0,1
Ral20-LA-225,18.17.1,1,306,225,4/6/2020,3,4,1,1
Ral20-LA-226,18.17.2,1,302,226,4/9/2020,1,2,0,
Ral20-LA-227,18.17.3,1,76,227,4/8/2020,4,3,0,1
Ral20-LA-228,18.17.4,1,146,228,4/9/2020,1,3,0,1
Ral20-LA-229,18.18.1,1,63,229,4/8/2020,2,2,0,1
Ral20-LA-230,18.18.2,1,263,230,4/8/2020,3,2,0,1
Ral20-LA-231,18.18.3,1,238,231,4/7/2020,1,1,0,1
Ral20-LA-232,18.18.4,1,8,232,4/9/2020,1,2,0,
Ral20-LA-233,18.19.1,1,98,233,4/9/2020,4,3,0,0
Ral20-LA-234,18.19.2,1,202,234,4/8/2020,1,2,0,0
Ral20-LA-235,18.19.3,1,AGS2000,235,4/8/2020,4,2,0,0
Ral20-LA-236,18.19.4,1,317,236,4/16/2020,3,4,2,0
Ral20-LA-237,18.20.1,1,209,237,4/6/2020,2,2,0,1
Ral20-LA-238,18.20.2,1,208,238,4/7/2020,2,3,0,1
Ral20-LA-239,18.20.3,1,279,239,4/5/2020,2,3,0,1
Ral20-LA-240,18.20.4,1,62,240,4/8/2020,2,2,0,1
Ral20-LA-241,19.1.1,1,Barley,241,4/8/2020,0,,TOP,1
Ral20-LA-242,19.1.2,1,AGS2000,242,4/5/2020,4,4,0,1
Ral20-LA-243,19.1.3,1,LA95135,243,4/8/2020,1,1,0,1
Ral20-LA-244,19.1.4,1,AGS2000,244,4/5/2020,4,4,0,1
Ral20-LA-245,19.2.1,1,200,245,4/3/2020,3,3,0,1
Ral20-LA-246,19.2.2,1,203,246,4/8/2020,2,2,0,1
Ral20-LA-247,19.2.3,1,111,247,4/9/2020,4,4,0,1
Ral20-LA-248,19.2.4,1,293,248,4/4/2020,1,2,0,1
Ral20-LA-249,19.3.1,1,109,249,4/5/2020,3,4,0,1
Ral20-LA-250,19.3.2,1,175,250,4/8/2020,3,3,0,1
Ral20-LA-251,19.3.3,1,LA95135,251,4/7/2020,1,1,0,1
Ral20-LA-252,19.3.4,1,14,252,4/10/2020,2,4,0,1
Ral20-LA-253,19.4.1,1,64,253,4/11/2020,4,,0,1
Ral20-LA-254,19.4.2,1,69,254,4/7/2020,3,3,0,1
Ral20-LA-255,19.4.3,1,52,255,4/8/2020,1,1,0,1
Ral20-LA-256,19.4.4,1,170,256,4/8/2020,3,2,0,1
Ral20-LA-257,19.5.1,1,25,257,4/7/2020,2,4,1,1
Ral20-LA-258,19.5.2,1,314,258,4/7/2020,3,2,0,
Ral20-LA-259,19.5.3,1,234,259,4/9/2020,1,2,0,
Ral20-LA-260,19.5.4,1,335,260,4/14/2020,3,4,2,1
Ral20-LA-261,19.6.1,1,334,261,4/9/2020,2,2,0,1
Ral20-LA-262,19.6.2,1,121,262,4/9/2020,1,4,0,1
Ral20-LA-263,19.6.3,1,235,263,4/4/2020,1,1,0,1
Ral20-LA-264,19.6.4,1,342,264,4/5/2020,3,3,0,1
Ral20-LA-265,19.7.1,1,31,265,4/7/2020,2,3,0,1
Ral20-LA-266,19.7.2,1,173,266,4/6/2020,2,4,0,1
Ral20-LA-267,19.7.3,1,271,267,4/9/2020,3,2,0,1
Ral20-LA-268,19.7.4,1,242,268,4/8/2020,1,2,0,1
Ral20-LA-269,19.8.1,1,176,269,4/8/2020,2,3,0,1
Ral20-LA-270,19.8.2,1,102,270,4/10/2020,4,4,2,1
Ral20-LA-271,19.8.3,1,144,271,4/9/2020,2,1,0,1
Ral20-LA-272,19.8.4,1,165,272,4/8/2020,2,4,0,
Ral20-LA-273,19.9.1,1,204,273,4/10/2020,1,2,0,1
Ral20-LA-274,19.9.2,1,AGS2000,274,4/7/2020,4,4,0,1
Ral20-LA-275,19.9.3,1,88,275,4/9/2020,3,3,0,1
Ral20-LA-276,19.9.4,1,117,276,4/3/2020,2,3,0,1
Ral20-LA-277,19.10.1,1,30,277,4/5/2020,2,2,0,0
Ral20-LA-278,19.10.2,1,LA95135,278,4/8/2020,1,1,0,1
Ral20-LA-279,19.10.3,1,308,279,4/15/2020,2,4,1,1
Ral20-LA-280,19.10.4,1,AGS2000,280,4/8/2020,4,4,1,1
Ral20-LA-281,19.11.1,1,124,281,4/8/2020,2,2,0,1
Ral20-LA-282,19.11.2,1,135,282,4/10/2020,2,4,0,1
Ral20-LA-283,19.11.3,1,247,283,4/8/2020,3,3,0,0
Ral20-LA-284,19.11.4,1,4,284,4/9/2020,2,3,0,1
Ral20-LA-285,19.12.1,1,301,285,4/9/2020,3,4,3,1
Ral20-LA-286,19.12.2,1,277,286,4/10/2020,3,1,0,1
Ral20-LA-287,19.12.3,1,230,287,4/11/2020,1,3,0,1
Ral20-LA-288,19.12.4,1,225,288,4/14/2020,2,3,0,1
Ral20-LA-289,19.13.1,1,139,289,4/9/2020,2,4,1,1
Ral20-LA-290,19.13.2,1,134,290,4/7/2020,1,4,0,1
Ral20-LA-291,19.13.3,1,338,291,4/9/2020,2,1,0,1
Ral20-LA-292,19.13.4,1,326,292,4/9/2020,2,4,0,1
Ral20-LA-293,19.14.1,1,15,293,4/6/2020,2,3,0,1
Ral20-LA-294,19.14.2,1,322,294,4/10/2020,4,4,1,1
Ral20-LA-295,19.14.3,1,295,295,4/7/2020,2,2,0,1
Ral20-LA-296,19.14.4,1,337,296,4/6/2020,1,3,0,1
Ral20-LA-297,19.15.1,1,325,297,4/5/2020,2,4,0,1
Ral20-LA-298,19.15.2,1,178,298,4/8/2020,3,3,0,1
Ral20-LA-299,19.15.3,1,48,299,4/8/2020,1,2,0,1
Ral20-LA-300,19.15.4,1,261,300,4/10/2020,3,4,1,1
Ral20-LA-301,19.16.1,1,116,301,4/3/2020,1,2,0,1
Ral20-LA-302,19.16.2,1,229,302,4/7/2020,3,1,0,1
Ral20-LA-303,19.16.3,1,72,303,4/8/2020,2,3,0,1
Ral20-LA-304,19.16.4,1,226,304,4/5/2020,1,2,0,1
Ral20-LA-305,19.17.1,1,9,305,4/5/2020,1,4,1,1
Ral20-LA-306,19.17.2,1,220,306,4/7/2020,4,4,1,1
Ral20-LA-307,19.17.3,1,3,307,4/6/2020,4,2,0,1
Ral20-LA-308,19.17.4,1,191,308,4/4/2020,3,2,0,0
Ral20-LA-309,19.18.1,1,323,309,4/9/2020,3,2,0,1
Ral20-LA-310,19.18.2,1,85,310,4/6/2020,1,2,0,1
Ral20-LA-311,19.18.3,1,24,311,4/5/2020,2,1,0,1
Ral20-LA-312,19.18.4,1,22,312,4/8/2020,3,4,1,1
Ral20-LA-313,19.19.1,1,227,313,4/9/2020,3,2,0,1
Ral20-LA-314,19.19.2,1,266,314,4/8/2020,2,4,1,1
Ral20-LA-315,19.19.3,1,101,315,4/6/2020,3,2,0,1
Ral20-LA-316,19.19.4,1,100,316,4/9/2020,3,4,1,1
Ral20-LA-317,19.20.1,1,71,317,4/9/2020,3,2,0,1
Ral20-LA-318,19.20.2,1,2,318,4/4/2020,1,0,0,1
Ral20-LA-319,19.20.3,1,360,319,4/8/2020,3,4,0,0
Ral20-LA-320,19.20.4,1,357,320,4/9/2020,3,4,1,1
Ral20-LA-321,20.1.1,1,Barley,321,4/6/2020,0,,,1
Ral20-LA-322,20.1.2,1,LA95135,322,4/7/2020,1,1,0,1
Ral20-LA-323,20.1.3,1,AGS2000,323,4/5/2020,4,4,0,1
Ral20-LA-324,20.1.4,1,LA95135,324,4/6/2020,1,1,0,1
Ral20-LA-325,20.2.1,1,123,325,4/5/2020,3,1,0,1
Ral20-LA-326,20.2.2,1,164,326,4/6/2020,3,2,1,1
Ral20-LA-327,20.2.3,1,272,327,4/9/2020,4,2,0,1
Ral20-LA-328,20.2.4,1,286,328,4/11/2020,4,3,0,1
Ral20-LA-329,20.3.1,1,137,329,4/3/2020,3,3,0,1
Ral20-LA-330,20.3.2,1,10,330,4/4/2020,4,4,0,1
Ral20-LA-331,20.3.3,1,270,331,4/15/2020,4,4,0,1
Ral20-LA-332,20.3.4,2,281,332,4/10/2020,4,4,0,1
Ral20-LA-333,20.4.1,2,148,333,4/5/2020,2,2,0,1
Ral20-LA-334,20.4.2,2,306,334,4/4/2020,3,2,0,1
Ral20-LA-335,20.4.3,2,128,335,4/8/2020,2,1,0,1
Ral20-LA-336,20.4.4,2,327,336,4/4/2020,4,4,1,1
Ral20-LA-337,20.5.1,2,265,337,4/8/2020,4,2,0,1
Ral20-LA-338,20.5.2,2,32,338,4/8/2020,4,2,0,1
Ral20-LA-339,20.5.3,2,13,339,4/4/2020,3,3,0,1
Ral20-LA-340,20.5.4,2,238,340,4/7/2020,2,1,0,1
Ral20-LA-341,20.6.1,2,LA95135,341,4/6/2020,1,1,0,1
Ral20-LA-342,20.6.2,2,AGS2000,342,4/7/2020,4,2,0,1
Ral20-LA-343,20.6.3,2,67,343,4/4/2020,2,4,0,1
Ral20-LA-344,20.6.4,2,171,344,4/7/2020,2,2,0,1
Ral20-LA-345,20.7.1,2,136,345,4/9/2020,4,2,0,1
Ral20-LA-346,20.7.2,2,295,346,4/7/2020,1,0,0,1
Ral20-LA-347,20.7.3,2,AGS2000,347,4/5/2020,4,4,1,1
Ral20-LA-348,20.7.4,2,206,348,4/8/2020,3,3,0,1
Ral20-LA-349,20.8.1,2,227,349,4/10/2020,3,3,0,1
Ral20-LA-350,20.8.2,2,244,350,4/5/2020,3,2,0,1
Ral20-LA-351,20.8.3,2,193,351,4/9/2020,2,0,0,1
Ral20-LA-352,20.8.4,2,16,352,4/6/2020,2,2,0,1
Ral20-LA-353,20.9.1,2,196,353,4/12/2020,2,1,0,1
Ral20-LA-354,20.9.2,2,141,354,4/10/2020,2,2,0,1
Ral20-LA-355,20.9.3,2,330,355,4/5/2020,3,3,0,1
Ral20-LA-356,20.9.4,2,264,356,4/5/2020,2,4,0,1
Ral20-LA-357,20.10.1,2,308,357,4/18/2020,3,4,1,1
Ral20-LA-358,20.10.2,2,190,358,4/7/2020,4,3,0,1
Ral20-LA-359,20.10.3,2,153,359,4/9/2020,2,2,0,1
Ral20-LA-360,20.10.4,2,10,360,4/6/2020,3,4,3,0
Ral20-LA-361,20.11.1,2,237,361,4/7/2020,1,2,0,1
Ral20-LA-362,20.11.2,2,299,362,4/7/2020,4,3,0,1
Ral20-LA-363,20.11.3,2,233,363,4/5/2020,1,1,0,1
Ral20-LA-364,20.11.4,2,250,364,4/13/2020,3,2,0,1
Ral20-LA-365,20.12.1,2,342,365,4/5/2020,3,2,0,1
Ral20-LA-366,20.12.2,2,271,366,4/8/2020,3,4,0,1
Ral20-LA-367,20.12.3,2,133,367,4/8/2020,2,3,0,1
Ral20-LA-368,20.12.4,2,294,368,4/6/2020,2,2,0,1
Ral20-LA-369,20.13.1,2,63,369,4/9/2020,3,2,0,1
Ral20-LA-370,20.13.2,2,29,370,4/10/2020,3,1,0,0
Ral20-LA-371,20.13.3,2,88,371,4/8/2020,3,2,0,1
