Rep,Entry,Wax Spike 4/22/21,Wax Leaf Bottom 4/22/21,flowering
1,UX1992-165,4,4,4/18/2021
2,UX1992-165,4,4,4/18/2021
1,UX1992-164,4,3,4/15/2021
2,UX1992-164,4,3,4/18/2021
1,UX1992-163,2,4,4/15/2021
2,UX1992-163,3,2,4/17/2021
1,UX1992-162,2,4,4/17/2021
2,UX1992-162,2,3,.
1,UX1992-161,3,3,4/15/2021
2,UX1992-161,1,1,4/15/2021
1,UX1992-160,3,4,4/18/2021
2,UX1992-160,4,4,4/18/2021
1,UX1992-159,4,4,4/19/2021
2,UX1992-159,3,3,4/18/2021
1,UX1992-157,3,3,4/18/2021
2,UX1992-157,3,3,4/18/2021
1,UX1992-156,2,1,4/16/2021
2,UX1992-156,.,.,.
1,UX1992-155,3,3,4/14/2021
2,UX1992-155,2,2,4/15/2021
1,UX1992-154,3,2,4/17/2021
2,UX1992-154,1,2,4/15/2021
1,UX1992-153,2,4,4/17/2021
2,UX1992-153,2,4,4/17/2021
1,UX1992-152,2,2,4/18/2021
2,UX1992-152,4,4,4/16/2021
1,UX1992-151,3,2,4/18/2021
2,UX1992-151,4,3,4/20/2021
1,UX1992-150,1,4,4/16/2021
2,UX1992-150,2,2,.
1,UX1992-149,3,4,4/19/2021
2,UX1992-149,2,3,4/18/2021
1,UX1992-148,4,3,4/19/2021
2,UX1992-148,4,3,4/19/2021
1,UX1992-147,2,2,4/16/2021
2,UX1992-147,4,3,4/18/2021
1,UX1992-145,4,4,4/18/2021
2,UX1992-145,4,4,4/18/2021
1,UX1992-142,3,3,4/16/2021
2,UX1992-142,3,4,4/15/2021
1,UX1992-141,1,3,4/15/2021
2,UX1992-141,3,2,4/15/2021
1,UX1992-140,2,4,4/16/2021
2,UX1992-140,3,4,.
1,UX1992-139,3,3,4/16/2021
2,UX1992-139,3,4,4/18/2021
1,UX1992-138,2,1,4/16/2021
2,UX1992-138,3,3,4/17/2021
1,UX1992-137,4,3,4/15/2021
2,UX1992-137,4,1,.
1,UX1992-136,2,3,4/16/2021
2,UX1992-136,1,3,4/16/2021
1,UX1992-135,4,3,4/18/2021
2,UX1992-135,4,3,4/14/2021
1,UX1992-134,1,2,4/15/2021
2,UX1992-134,1,1,4/15/2021
1,UX1992-133,2,3,4/15/2021
2,UX1992-133,3,3,4/17/2021
1,UX1992-132,4,3,4/16/2021
2,UX1992-132,4,3,4/17/2021
1,UX1992-131,2,2,4/15/2021
2,UX1992-131,2,1,4/15/2021
1,UX1992-130,1,3,4/12/2021
2,UX1992-130,1,1,4/14/2021
1,UX1992-129,1,2,4/14/2021
2,UX1992-129,1,1,4/14/2021
1,UX1992-128,1,3,4/14/2021
2,UX1992-128,2,2,4/14/2021
1,UX1992-127,2,2,4/19/2021
2,UX1992-127,3,1,4/18/2021
1,UX1992-126,4,3,4/14/2021
2,UX1992-126,4,2,.
1,UX1992-125,1,2,4/16/2021
2,UX1992-125,1,3,4/17/2021
1,UX1992-124,2,4,4/17/2021
2,UX1992-124,4,4,4/16/2021
1,UX1992-123,3,3,4/14/2021
2,UX1992-123,1,3,4/15/2021
1,UX1992-122,4,4,4/16/2021
2,UX1992-122,4,4,4/15/2021
1,UX1992-121,4,4,4/19/2021
2,UX1992-121,.,.,.
1,UX1992-120,4,1,4/17/2021
2,UX1992-120,3,2,4/15/2021
1,UX1992-119,3,2,4/15/2021
2,UX1992-119,3,2,4/17/2021
1,UX1992-118,2,4,4/16/2021
2,UX1992-118,1,1,4/17/2021
1,UX1992-117,2,3,4/16/2021
2,UX1992-117,1,2,4/17/2021
1,UX1992-115,4,4,4/17/2021
2,UX1992-115,3,4,4/19/2021
1,UX1992-114,3,4,4/15/2021
2,UX1992-114,3,4,4/14/2021
1,UX1992-113,1,3,4/13/2021
2,UX1992-113,1,2,4/14/2021
1,UX1992-112,3,2,4/19/2021
2,UX1992-112,1,1,4/19/2021
1,UX1992-111,2,3,4/15/2021
2,UX1992-111,3,3,4/15/2021
1,UX1992-110,2,4,4/20/2021
2,UX1992-110,4,3,4/18/2021
1,UX1992-108,1,3,4/14/2021
2,UX1992-108,1,2,4/12/2021
1,UX1992-107,3,2,4/17/2021
2,UX1992-107,2,2,4/18/2021
1,UX1992-106,4,3,4/14/2021
2,UX1992-106,4,4,4/15/2021
1,UX1992-105,1,2,4/16/2021
2,UX1992-105,3,4,.
1,UX1992-104,2,4,4/19/2021
2,UX1992-104,4,2,4/16/2021
1,UX1992-103,4,4,4/16/2021
2,UX1992-103,4,4,4/16/2021
1,UX1992-102,3,4,4/14/2021
2,UX1992-102,4,4,4/11/2021
1,UX1992-101,1,2,4/18/2021
2,UX1992-101,3,3,4/19/2021
1,UX1992-100,1,1,4/18/2021
2,UX1992-100,1,2,4/18/2021
1,UX1992-99,3,4,4/17/2021
2,UX1992-99,3,3,4/18/2021
1,UX1992-98,1,3,4/15/2021
2,UX1992-98,3,1,4/14/2021
1,UX1992-97,2,3,4/17/2021
2,UX1992-97,.,.,.
1,UX1992-96,3,3,4/17/2021
2,UX1992-96,2,4,4/16/2021
1,UX1992-95,2,3,4/16/2021
2,UX1992-95,3,1,.
1,UX1992-94,4,3,4/15/2021
2,UX1992-94,4,4,.
1,UX1992-93,2,2,4/15/2021
2,UX1992-93,3,3,4/16/2021
1,UX1992-92,2,3,4/16/2021
2,UX1992-92,1,3,4/16/2021
1,UX1992-91,4,4,4/15/2021
2,UX1992-91,2,4,4/14/2021
1,UX1992-90,3,4,4/17/2021
2,UX1992-90,2,4,4/18/2021
1,UX1992-89,4,4,4/15/2021
2,UX1992-89,.,.,.
1,UX1992-88,2,2,4/19/2021
2,UX1992-88,3,2,4/19/2021
1,UX1992-87,4,4,4/16/2021
2,UX1992-87,4,3,4/16/2021
1,UX1992-86,2,3,4/17/2021
2,UX1992-86,4,3,4/16/2021
1,UX1992-85,1,3,4/16/2021
2,UX1992-85,2,3,.
1,UX1992-84,2,1,4/17/2021
2,UX1992-84,1,1,4/18/2021
1,UX1992-83,1,2,4/14/2021
2,UX1992-83,1,2,4/17/2021
1,UX1992-82,4,3,4/16/2021
2,UX1992-82,2,3,4/18/2021
1,UX1992-81,2,4,4/19/2021
2,UX1992-81,1,4,4/19/2021
1,UX1992-80,2,4,4/19/2021
2,UX1992-80,2,4,4/17/2021
1,UX1992-79,3,4,4/15/2021
2,UX1992-79,2,4,4/14/2021
1,UX1992-78,3,3,4/17/2021
2,UX1992-78,3,2,4/17/2021
1,UX1992-77,4,4,4/16/2021
2,UX1992-77,2,4,4/16/2021
1,UX1992-76,2,2,4/14/2021
2,UX1992-76,3,2,4/16/2021
1,UX1992-75,2,2,4/16/2021
2,UX1992-75,3,4,.
1,UX1992-74,4,4,4/17/2021
2,UX1992-74,4,4,4/17/2021
1,UX1992-72,3,2,4/16/2021
2,UX1992-72,3,1,4/16/2021
1,UX1992-71,3,4,4/15/2021
2,UX1992-71,4,3,4/15/2021
1,UX1992-70,1,1,4/15/2021
2,UX1992-70,2,2,4/16/2021
1,UX1992-69,4,3,4/15/2021
2,UX1992-69,4,3,4/14/2021
1,UX1992-68,4,2,4/14/2021
2,UX1992-68,2,1,4/16/2021
1,UX1992-67,4,4,4/15/2021
2,UX1992-67,4,4,4/13/2021
1,UX1992-66,1,4,4/18/2021
2,UX1992-66,3,3,4/19/2021
1,UX1992-65,3,3,4/17/2021
2,UX1992-65,1,3,4/19/2021
1,UX1992-63,2,3,4/15/2021
2,UX1992-63,2,2,4/15/2021
1,UX1992-62,4,4,4/12/2021
2,UX1992-62,4,2,4/13/2021
1,UX1992-61,4,3,4/18/2021
2,UX1992-61,4,3,.
1,UX1992-60,1,2,4/14/2021
2,UX1992-60,2,2,4/15/2021
1,UX1992-59,2,3,4/15/2021
2,UX1992-59,3,1,4/15/2021
1,UX1992-57,2,3,4/17/2021
2,UX1992-57,4,2,4/15/2021
1,UX1992-56,3,3,4/16/2021
2,UX1992-56,4,4,4/16/2021
1,UX1992-55,1,4,4/15/2021
2,UX1992-55,3,4,4/14/2021
1,UX1992-54,3,3,4/16/2021
2,UX1992-54,3,3,4/16/2021
1,UX1992-52,2,3,4/17/2021
2,UX1992-52,4,3,4/17/2021
1,UX1992-51,1,3,4/14/2021
2,UX1992-51,1,.,4/14/2021
1,UX1992-50,3,3,4/15/2021
2,UX1992-50,4,4,4/16/2021
1,UX1992-49,2,2,4/15/2021
2,UX1992-49,4,1,.
1,UX1992-47,3,4,4/19/2021
2,UX1992-47,3,2,4/18/2021
1,UX1992-46,4,2,4/14/2021
2,UX1992-46,3,2,4/16/2021
1,UX1992-45,3,4,4/19/2021
2,UX1992-45,3,4,4/18/2021
1,UX1992-44,4,4,4/14/2021
2,UX1992-44,2,3,4/14/2021
1,UX1992-43,2,2,4/14/2021
2,UX1992-43,2,2,4/13/2021
1,UX1992-42,4,3,4/14/2021
2,UX1992-42,4,2,.
1,UX1992-41,2,4,4/16/2021
2,UX1992-41,2,1,.
1,UX1992-38,1,3,4/17/2021
2,UX1992-38,1,1,4/16/2021
1,UX1992-37,3,4,4/16/2021
2,UX1992-37,3,4,4/16/2021
1,UX1992-36,4,4,4/14/2021
2,UX1992-36,3,4,4/15/2021
1,UX1992-35,2,3,4/14/2021
2,UX1992-35,3,4,4/14/2021
1,UX1992-34,4,3,4/14/2021
2,UX1992-34,3,4,.
1,UX1992-33,2,4,4/20/2021
2,UX1992-33,2,3,.
1,UX1992-32,1,3,4/20/2021
2,UX1992-32,2,4,.
1,UX1992-31,3,4,4/13/2021
2,UX1992-31,3,4,4/15/2021
1,UX1992-29,3,4,4/16/2021
2,UX1992-29,4,4,4/15/2021
1,UX1992-28,3,3,4/16/2021
2,UX1992-28,4,4,4/16/2021
1,UX1992-27,2,3,4/16/2021
2,UX1992-27,4,4,.
1,UX1992-26,3,3,4/17/2021
2,UX1992-26,4,2,4/16/2021
1,UX1992-25,4,2,4/16/2021
2,UX1992-25,3,3,4/15/2021
1,UX1992-24,4,2,4/14/2021
2,UX1992-24,4,3,4/14/2021
1,UX1992-23,2,3,4/15/2021
2,UX1992-23,2,3,4/15/2021
1,UX1992-22,4,3,4/18/2021
2,UX1992-22,2,2,4/20/2021
1,UX1992-21,1,2,4/15/2021
2,UX1992-21,2,2,4/18/2021
1,UX1992-20,1,2,4/11/2021
2,UX1992-20,1,2,4/11/2021
1,UX1992-19,4,2,4/16/2021
2,UX1992-19,2,3,4/14/2021
1,UX1992-18,1,4,4/16/2021
2,UX1992-18,3,3,4/17/2021
1,UX1992-17,1,4,4/17/2021
2,UX1992-17,2,3,4/17/2021
1,UX1992-16,3,2,4/15/2021
2,UX1992-16,3,2,4/17/2021
1,UX1992-15,4,3,4/20/2021
2,UX1992-15,2,3,4/20/2021
1,UX1992-14,2,3,4/17/2021
2,UX1992-14,4,4,.
1,UX1992-13,1,4,4/17/2021
2,UX1992-13,1,4,4/18/2021
1,UX1992-12,1,1,4/15/2021
2,UX1992-12,1,1,4/15/2021
1,UX1992-11,4,4,4/17/2021
2,UX1992-11,4,4,4/16/2021
1,UX1992-10,3,3,4/15/2021
2,UX1992-10,4,3,4/14/2021
1,UX1992-9,4,4,4/16/2021
2,UX1992-9,4,4,4/15/2021
1,UX1992-8,3,4,4/17/2021
2,UX1992-8,3,4,4/18/2021
1,UX1992-7,3,3,4/11/2021
2,UX1992-7,3,3,4/12/2021
1,UX1992-6,3,1,4/16/2021
2,UX1992-6,3,1,4/16/2021
1,UX1992-5,3,3,4/18/2021
2,UX1992-5,3,2,4/18/2021
1,UX1992-3,4,2,4/16/2021
2,UX1992-3,2,2,4/18/2021
1,UX1992-2,2,2,4/18/2021
2,UX1992-2,2,3,.
